country,revenue,orders,customers,average_order_value,repeat_customer_rate_pct,revenue_share_pct
United Kingdom,7308391.55,16673,3920,438.34,65.61,82.01
Germany,228867.14,457,94,500.8,72.34,2.57
France,209024.05,390,87,535.96,67.82,2.35
Spain,61577.11,90,30,684.19,63.33,0.69
Switzerland,56443.95,51,21,1106.74,71.43,0.63
Belgium,41196.34,98,25,420.37,72.0,0.46
Norway,36165.44,36,10,1004.6,60.0,0.41
Portugal,33439.89,57,19,586.66,63.16,0.38
Finland,22546.08,41,12,549.9,58.33,0.25
Italy,17483.24,38,14,460.09,42.86,0.2
Austria,10198.68,17,11,599.92,36.36,0.11
