order_month,revenue,orders,customers,average_order_value,month_over_month_pct,is_partial_month
2010-12,572713.89,1401,885,408.79,,1
2011-01,569445.04,993,741,573.46,-0.57,0
2011-02,447137.35,1002,758,446.24,-21.48,0
2011-03,595500.76,1324,974,449.77,33.18,0
2011-04,469200.36,1153,856,406.94,-21.21,0
2011-05,678594.56,1559,1056,435.28,44.63,0
2011-06,661213.69,1394,991,474.33,-2.56,0
2011-07,600091.01,1331,949,450.86,-9.24,0
2011-08,645343.9,1282,935,503.39,7.54,0
2011-09,952838.38,1756,1266,542.62,47.65,0
2011-10,1039318.79,1930,1364,538.51,9.08,0
2011-11,1161817.38,2659,1664,436.94,11.79,0
2011-12,518192.79,778,615,666.06,-55.4,1
