stock_code,description,revenue,units,orders,customers,revenue_rank
22423,REGENCY CAKESTAND 3 TIER,142592.95,12402,1703,881,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,100603.5,36782,1978,856,2
85099B,JUMBO BAG RED RETROSPOT,85220.78,46181,1600,635,3
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73,77916,195,138,4
47566,PARTY BUNTING,68844.33,15291,1379,708,5
84879,ASSORTED COLOUR BIRD ORNAMENT,56580.34,35362,1375,678,6
23084,RABBIT NIGHT LIGHT,51346.2,27202,801,450,7
22502,PICNIC BASKET WICKER SMALL,47366.2,1488,234,175,8
79321,CHILLI LIGHTS,46286.51,9650,519,205,9
22086,PAPER CHAIN KIT 50'S CHRISTMAS,42660.83,15617,980,613,10
21137,BLACK RECORD COVER FRAME,39064.55,11406,313,140,11
23203,JUMBO BAG VINTAGE DOILY,37684.38,19516,1080,505,12
22386,JUMBO BAG PINK POLKADOT,37289.59,20165,871,372,13
22197,POPCORN HOLDER,37226.43,49183,1035,407,14
23298,SPOTTY BUNTING,36173.95,7785,1009,573,15
